index,case name,i_h2i_rate,i_pci_rate,i_wpi_rate,i_ngi_rate,i_o2_volfract,i_ng_temp,i_h2_temp,i_hbtemp,i_wind_rt,i_blastH2O,i_BdnH2O,i_sgi_rate,i_sgtemp,i_sgi_H2COratio,i_sgi_ReProRatio,o_tuy_velo,o_tuy_temp,o_burn,o_delp,o_co_vf,o_co2_vf,o_h2_vf,o_n2_vf,o_co_util,o_h2_util,o_tgt,o_coke_rt,o_hmt,o_co2_sollos,o_h2o_sollos,o_feo_sollos,o_hm_rt,o_mw_rt,o_wf_rt,o_hm_h2share,o_mw_h2share,o_wf_h2share,o_prod_rt,o_fta
12,H2-0_PCI-0_WPI-0_NG-120_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,120,21,300,0,1200,160,5.7,7,0,0,0,0,0,0,0,1.14E+05,1.87E-01,1.73E-01,1.25E-01,5.15E-01,4.81E+01,3.95E+01,1.69E+02,3.54E+02,7.28E+02,8.29E+00,1.50E+01,2.66E+01,1.37E+02,2.97E+02,7.81E+02,4.44E+01,2.19E+01,5.45E+01,4.56E+03,1.74E+03
13,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,160,5.7,7,0,0,0,0,0,0,0,8.13E+04,1.97E-01,2.08E-01,4.94E-02,5.45E-01,5.13E+01,4.36E+01,1.15E+02,4.59E+02,1.26E+03,2.09E+01,1.22E+01,4.29E+01,1.38E+02,2.98E+02,7.78E+02,2.11E+01,1.20E+01,3.93E+01,4.56E+03,2.00E+03
14,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-3_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1200,160,5.7,3,0,0,0,0,0,0,0,1.10E+05,1.96E-01,1.98E-01,6.84E-02,5.38E-01,5.03E+01,4.20E+01,2.07E+02,4.34E+02,1.14E+03,1.45E+01,1.27E+01,4.19E+01,1.38E+02,2.97E+02,7.82E+02,2.82E+01,1.44E+01,4.50E+01,4.56E+03,1.91E+03
15,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,195,5.7,5,0,0,0,0,0,0,0,9.29E+04,2.39E-01,1.64E-01,4.63E-02,5.51E-01,4.07E+01,3.96E+01,2.39E+02,5.46E+02,1.60E+03,2.66E+01,1.18E+01,5.06E+01,1.40E+02,3.02E+02,7.79E+02,1.60E+01,1.29E+01,4.04E+01,4.60E+03,2.05E+03
16,H2-0_PCI-0_WPI-0_NG-120_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,120,21,300,0,1200,230,5.7,7,0,0,0,0,0,0,0,1.75E+05,2.61E-01,1.09E-01,1.03E-01,5.27E-01,2.94E+01,3.21E+01,3.23E+02,5.45E+02,1.28E+03,2.40E+01,2.06E+01,4.24E+01,1.39E+02,3.00E+02,7.89E+02,2.74E+01,2.66E+01,6.18E+01,4.61E+03,1.85E+03
17,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,195,5.7,1,0,0,0,0,0,0,0,9.75E+04,2.38E-01,1.64E-01,4.62E-02,5.52E-01,4.09E+01,4.01E+01,3.20E+02,5.47E+02,1.62E+03,2.76E+01,1.21E+01,4.86E+01,1.39E+02,3.00E+02,7.92E+02,1.61E+01,1.28E+01,4.02E+01,4.62E+03,2.05E+03
18,H2-0_PCI-0_WPI-0_NG-120_O2-21_NGT-300_H2T-0_HBT-1200_WR-230_MHB-5.7_BM-5_SGI-0_SGT-0_SGC_0 ,0,0,0,120,21,300,0,1200,230,5.7,5,0,0,0,0,0,0,0,1.78E+05,2.60E-01,1.10E-01,1.03E-01,5.27E-01,2.97E+01,3.24E+01,3.50E+02,5.40E+02,1.29E+03,2.39E+01,2.05E+01,4.19E+01,1.40E+02,3.03E+02,7.96E+02,2.75E+01,2.62E+01,6.15E+01,4.65E+03,1.85E+03
19,H2-0_PCI-0_WPI-0_NG-100_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,100,21,300,0,1200,160,5.7,7,0,0,0,0,0,0,0,1.13E+05,1.84E-01,1.88E-01,1.04E-01,5.23E-01,5.05E+01,4.14E+01,1.46E+02,3.73E+02,8.78E+02,1.05E+01,1.52E+01,2.91E+01,1.41E+02,3.04E+02,7.98E+02,4.02E+01,1.94E+01,5.29E+01,4.66E+03,1.79E+03
20,H2-0_PCI-0_WPI-0_NG-41_O2-21_NGT-300_H2T-0_HBT-1200_WR-195_MHB-5.7_BM-7_SGI-0_SGT-0_SGC_0 ,0,0,0,41,21,300,0,1200,195,5.7,7,0,0,0,0,0,0,0,9.10E+04,2.35E-01,1.67E-01,4.61E-02,5.51E-01,4.15E+01,4.01E+01,2.00E+02,5.42E+02,1.61E+03,2.66E+01,1.18E+01,4.99E+01,1.41E+02,3.04E+02,7.95E+02,1.62E+01,1.30E+01,4.01E+01,4.67E+03,2.05E+03
21,H2-0_PCI-0_WPI-0_NG-60_O2-21_NGT-300_H2T-0_HBT-1200_WR-160_MHB-5.7_BM-1_SGI-0_SGT-0_SGC_0 ,0,0,0,60,21,300,0,1200,160,5.7,1,0,0,0,0,0,0,0,8.18E+04,1.94E-01,2.02E-01,6.74E-02,5.37E-01,5.10E+01,4.26E+01,2.42E+02,4.28E+02,1.12E+03,1.73E+01,1.44E+01,3.78E+01,1.41E+02,3.04E+02,8.00E+02,2.84E+01,1.40E+01,4.55E+01,4.67E+03,1.91E+03
